Firstname,Password
basicuser01,nutanix/4u
basicuser02,nutanix/4u
basicuser03,nutanix/4u
basicuser04,nutanix/4u
basicuser05,nutanix/4u
basicuser06,nutanix/4u
basicuser07,nutanix/4u
basicuser08,nutanix/4u
basicuser09,nutanix/4u
basicuser10,nutanix/4u
basicuser11,nutanix/4u
basicuser12,nutanix/4u
basicuser13,nutanix/4u
basicuser14,nutanix/4u
basicuser15,nutanix/4u
basicuser16,nutanix/4u
basicuser17,nutanix/4u
basicuser18,nutanix/4u
basicuser19,nutanix/4u
basicuser20,nutanix/4u
basicuser21,nutanix/4u
basicuser22,nutanix/4u
basicuser23,nutanix/4u
basicuser24,nutanix/4u
basicuser25,nutanix/4u
