Firstname,Password
custom01,nutanix/4u
custom02,nutanix/4u
custom03,nutanix/4u
custom04,nutanix/4u
custom05,nutanix/4u
custom06,nutanix/4u
custom07,nutanix/4u
custom08,nutanix/4u
custom09,nutanix/4u
custom10,nutanix/4u
custom11,nutanix/4u
custom12,nutanix/4u
custom13,nutanix/4u
custom14,nutanix/4u
custom15,nutanix/4u
custom16,nutanix/4u
custom17,nutanix/4u
custom18,nutanix/4u
custom19,nutanix/4u
custom20,nutanix/4u
custom21,nutanix/4u
custom22,nutanix/4u
custom23,nutanix/4u
custom24,nutanix/4u
custom25,nutanix/4u
