Firstname,Password
operator01,nutanix/4u
operator02,nutanix/4u
operator03,nutanix/4u
operator04,nutanix/4u
operator05,nutanix/4u
operator06,nutanix/4u
operator07,nutanix/4u
operator08,nutanix/4u
operator09,nutanix/4u
operator10,nutanix/4u
operator11,nutanix/4u
operator12,nutanix/4u
operator13,nutanix/4u
operator14,nutanix/4u
operator15,nutanix/4u
operator16,nutanix/4u
operator17,nutanix/4u
operator18,nutanix/4u
operator19,nutanix/4u
operator20,nutanix/4u
operator21,nutanix/4u
operator22,nutanix/4u
operator23,nutanix/4u
operator24,nutanix/4u
operator25,nutanix/4u
