Firstname,Password
poweruser01,nutanix/4u
poweruser02,nutanix/4u
poweruser03,nutanix/4u
poweruser04,nutanix/4u
poweruser05,nutanix/4u
poweruser06,nutanix/4u
poweruser07,nutanix/4u
poweruser08,nutanix/4u
poweruser09,nutanix/4u
poweruser10,nutanix/4u
poweruser11,nutanix/4u
poweruser12,nutanix/4u
poweruser13,nutanix/4u
poweruser14,nutanix/4u
poweruser15,nutanix/4u
poweruser16,nutanix/4u
poweruser17,nutanix/4u
poweruser18,nutanix/4u
poweruser19,nutanix/4u
poweruser20,nutanix/4u
poweruser21,nutanix/4u
poweruser22,nutanix/4u
poweruser23,nutanix/4u
poweruser24,nutanix/4u
poweruser25,nutanix/4u
