Firstname,Password
adminuser01,nutanix/4u
adminuser02,nutanix/4u
adminuser03,nutanix/4u
adminuser04,nutanix/4u
adminuser05,nutanix/4u
adminuser06,nutanix/4u
adminuser07,nutanix/4u
adminuser08,nutanix/4u
adminuser09,nutanix/4u
adminuser10,nutanix/4u
adminuser11,nutanix/4u
adminuser12,nutanix/4u
adminuser13,nutanix/4u
adminuser14,nutanix/4u
adminuser15,nutanix/4u
adminuser16,nutanix/4u
adminuser17,nutanix/4u
adminuser18,nutanix/4u
adminuser19,nutanix/4u
adminuser20,nutanix/4u
adminuser21,nutanix/4u
adminuser22,nutanix/4u
adminuser23,nutanix/4u
adminuser24,nutanix/4u
adminuser25,nutanix/4u
