Firstname,Password
devuser01,nutanix/4u
devuser02,nutanix/4u
devuser03,nutanix/4u
devuser04,nutanix/4u
devuser05,nutanix/4u
devuser06,nutanix/4u
devuser07,nutanix/4u
devuser08,nutanix/4u
devuser09,nutanix/4u
devuser10,nutanix/4u
devuser11,nutanix/4u
devuser12,nutanix/4u
devuser13,nutanix/4u
devuser14,nutanix/4u
devuser15,nutanix/4u
devuser16,nutanix/4u
devuser17,nutanix/4u
devuser18,nutanix/4u
devuser19,nutanix/4u
devuser20,nutanix/4u
devuser21,nutanix/4u
devuser22,nutanix/4u
devuser23,nutanix/4u
devuser24,nutanix/4u
devuser25,nutanix/4u
